"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","test_part","corr_resp","probe","target","foil1","foil2","condition","question","roomNum","sameRoom","context"
"true","fullscreen","0","7056","0.0-0.0","","","","","","","","","","","","","",""
"","html-keyboard-response","1","26585","0.0-1.0","19524","<div align=""center"" style='display: flex; flex-direction: column; margin: auto; flex: 1 1 100%; width: 90%; height: 90%;'><div style=""font-family: 'Open Sans', 'Arial', sans-serif; font-size: 150%; line-height: 1.5em;""><p style=""width: 90%; text-align: justify""><br>After you have watched the video, you will now complete a memory task.<br><br>On each trial, you need to answer three separate questions. The <strong>first question</strong> is <i>'What came after this object?'</i> for the object presented at the top of the screen. This is relative to the sequence of objects you saw in the video. You choose the correct image from the three alternatives  presented to you by pressing <strong>1, 2 or 3</strong> from top of the keyboard.<br>For the <strong>second question</strong>, you need to decide in which type of room the object was in and for the <strong>third question</strong> on which table the object on was irrespective of the room type. Please press the respective numbers which are used to label the room type/postions. <br><br>Press <strong>space</strong> to begin.","32","","","","","","","","","","",""
"","html-keyboard-response","2","29091","0.0-2.0-0.0","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","3","36034","0.0-2.0-1.0","6937","<img src= images/stimuli/30.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= images/stimuli/64.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/72.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/36.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","2","30","images/stimuli/72.png","images/stimuli/64.png","images/stimuli/36.png","7","What came after this object?","15","1","within-no-walls"
"","html-keyboard-response","4","36537","0.0-2.0-2.0","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","5","41308","0.0-2.0-3.0","4769","<img src= images/stimuli/30.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","roomType","1","","","","","7","","15","",""
"","html-keyboard-response","6","41813","0.0-2.0-4.0","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","7","46432","0.0-2.0-5.0","4616","<img src= images/stimuli/30.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","tableNum","2","","","","","7","","","",""
"","html-keyboard-response","8","46933","0.0-2.0-0.1","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","9","51257","0.0-2.0-1.1","4319","<img src= images/stimuli/20.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= images/stimuli/10.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/59.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/41.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","temporalOrder","1","20","images/stimuli/10.png","images/stimuli/59.png","images/stimuli/41.png","7","What came after this object?","29","0","across"
"","html-keyboard-response","10","51762","0.0-2.0-2.1","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","11","53682","0.0-2.0-3.1","1918","<img src= images/stimuli/20.png width = '400' height = '251.57232704402514'><p>In which type of room was the object?</p><img src= images/stimuli/nw_room.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_room.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","50","roomType","1","","","","","7","","29","",""
"","html-keyboard-response","12","54183","0.0-2.0-4.1","null","","null","blank","","","","","","","","","",""
"","html-keyboard-response","13","57220","0.0-2.0-5.1","3036","<img src= images/stimuli/20.png width = '400' height = '251.57232704402514'><p>At which location in the room was the object?</p><img src= images/stimuli/nw_table.png width = '400' height = '400' hspace='5'><img src= images/stimuli/ww_table.png width = '400' height = '400' hspace='5'><p>Press 1 or 2.</p>","49","tableNum","3","","","","","7","","","",""
"","html-keyboard-response","14","57724","0.0-2.0-0.2","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","",""
"","html-keyboard-response","15","63857","0.0-2.0-1.2","6130","<img src= images/stimuli/26.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= images/stimuli/24.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/79.png width = '400' height = '251.57232704402514' hspace='5'><img src= images/stimuli/87.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","temporalOrder","3","26","images/stimuli/87.png","images/stimuli/79.png","images/stimuli/24.png","7","What came after this object?","22","0","across"
"","html-keyboard-response","16","64362","0.0-2.0-2.2","null","","null","blank","","","","","","","","","",""
