"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","success","test_part","correct_response","probe"
"565627","<p>Thank you for participating in this experiment.</p><p>At first, you will watch a video, in which you see a series of objects in a series of rooms.</p><p>Try to remember that sequence and try to remember the rooms an object was in. </p><p>To start the experiment, please watch the following video: <a href='https://youtu.be/PKNqyqvctJg' target='_blank'>https://youtu.be/PKNqyqvctJg</a><p>Please enable the full screen mode while watching the video and use the highest resolution.</p><p>Press <strong>space</strong> to continue after watching the video.</p>","32","html-keyboard-response","0","565631","0.0-0.0","","","",""
"","","","fullscreen","1","572072","0.0-1.0","true","","",""
"16032","<p>After you have watched the video, you will now complete a memory task.</p><br><br><p>On each trial, you need to answer two questions. For both questions you have to</p><p>to choose the correct image from three alternatives by pressing 1, 2 or 3 from top of the keyboard.</p><p>For the first question, you need to decide which object was either before or after the object presented</p><p>at the top. This is relative to the sequence of objects you saw in the video. For the second question, </p><p>you need to decide in which room the object was. In order to do this, you need to base</p><p>this on the <strong>wall colour</strong> and the <strong>carpet</strong>.</p><br><p>Press <strong>space</strong> to begin.</p>","32","html-keyboard-response","2","588106","0.0-2.0","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","3","590609","0.0-3.0-0.0","","fixation","",""
"6994","<img src= stimuli/temporalOrder/43.png width = '400' height = '251.57232704402514'><p>What came before this object?</p><img src= stimuli/temporalOrder/9.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/8.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/32.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","4","597611","0.0-3.0-1.0","","temporalOrder","3","43"
"null","","null","html-keyboard-response","5","598112","0.0-3.0-2.0","","blank","",""
"5188","<img src= stimuli/temporalOrder/43.png width = '400' height = '251.57232704402514'><p>In which room was the object?</p><img src= stimuli/contextMemory/29.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/33.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/contextMemory/12.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","49","html-keyboard-response","6","603306","0.0-3.0-3.0","","contextMemory","3","43"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","7","603810","0.0-3.0-0.1","","fixation","",""
"8210","<img src= stimuli/temporalOrder/8.png width = '400' height = '251.57232704402514'><p>What came after this object?</p><img src= stimuli/temporalOrder/12.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/74.png width = '400' height = '251.57232704402514' hspace='5'><img src= stimuli/temporalOrder/61.png width = '400' height = '251.57232704402514' hspace='5'><p>Press 1, 2 or 3.</p>","50","html-keyboard-response","8","612025","0.0-3.0-1.1","","temporalOrder","3","8"
"null","","null","html-keyboard-response","9","612527","0.0-3.0-2.1","","blank","",""
